Target Strength,Area (km2),Mean Sa,Density (kg/m2),Biomass (tons),Standard Error (tons),Standard Error (%),Layer,Turnover
-35.5,826.1781,-50.72201353,0.029885153,24824.03218,9953.949924,40.09803827,German Bank,21033
-35.5,287.0035,-58.71501315,0.00475764,1368.944617,268.0304852,19.579352,Seal Island,
