Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
C1,T01,-35.5,-56.73807164,0.00751956704696001,38.942238601
C1,T02,-35.5,-58.3233895,0.00521988638093082,38.62400175
FM,T01,-35.5,-49.97442644,0.0356908882081593,37.987177659
FM,T02,-35.5,-54.59179188,0.0123259616452308,37.55402722
LB,T01,-35.5,-49.80471919,0.0371131725683301,38.065997768
LB,T02,-35.5,-51.25243078,0.0265923624797308,37.96726495
LJ,T01,-35.5,-53.49771638,0.0158572678479619,37.382696434
LJ,T02,-35.5,-59.13715178,0.00432797578270648,37.09777076
LM,T01,-35.5,-43.57391738,0.155814640500297,38.50917708
LM,T02,-35.5,-61.55800402,0.00247856092113997,37.81438372
MS,T01,-35.5,-49.78095878,0.0373167765478596,38.712928
MS,T02,-35.5,-52.86014342,0.0183647769510365,38.36547016
C1,T03,-35.5,-65.25003459,0.00105924528863435,29.8283147
C1,T04,-35.5,-60.83425415,0.00292802368202862,30.3016579
FM,T03,-35.5,-61.31091085,0.00262366822121352,28.7760392
FM,T04,-35.5,-56.06403516,0.00878206170009389,29.2511606
LB,T03,-35.5,-62.47957313,0.0020046690575054,29.01501748
LB,T04,-35.5,-57.14036183,0.00685431117766424,29.0674109
LJ,T03,-35.5,-64.19357325,0.0013509605743231,28.32089648
LJ,T04,-35.5,-57.6532962,0.00609074447601799,28.2803819
LM,T03,-35.5,-61.86748649,0.00230808262136261,28.81809991
LM,T04,-35.5,-57.74945656,0.00595736684399915,28.3566468
MS,T03,-35.5,-57.88166255,0.00577874785178781,29.2106822
MS,T04,-35.5,-54.94858917,0.0113537959020223,30.039197
