Set_Number,No_jars,Tow_No,Lat1,Lon1,Lat2,Lon2,Time1,Time2,TideDirection,Speed,Heading,Observers,WindDirection,WindSpeed,Swell,AirTemp,FlowReading1,FlowReading2,DiscDepthD,DiscDepthA,CTD_ID,CTD_Lat,CTD_Lon
GB2024-05,1,1,43 33.9,66 21.56,43 33.19,66 21.83,18:47,18:57,with,5.1,198,Tracey,W,11,0,18,725125,788900,7,6,10K100766_20240915_222826,43.68,-66.3599
GB2024-06,1,2,43 33.11,66 21.05,43 32.45,66 21.06,19:06,19:16,against,4,180,Tracey,W,11,0,18,799198,862762,7,6,10K100766_20240915_222826,43.68,-66.3599
