id,Area,X,Y
219,3Lh,-49,47
220,3Lh,-49,48
221,3Lh,-51,48
222,3Lh,-51,47
223,3Li,-49,47
224,3Li,-46.5,47
225,3Li,-46.5,48
226,3Li,-49,48
227,3Li,-49,47
228,3Lj,-53.066667,46.65
229,3Lj,-52.5,46.5
230,3Lj,-52.5,47.833333
231,3Lj,-52.8,47.8
232,3Ls,-52.5,46
233,3Ls,-51,46
234,3Ls,-51,47
235,3Ls,-52.5,47
236,3Ls,-52.5,46
237,3Lr,-51,46
238,3Lr,-49,46
239,3Lr,-49,47
240,3Lr,-51,47
241,3Lr,-51,46
242,3Lt,-49,46
243,3Lt,-46.5,46
244,3Lt,-46.5,47
245,3Lt,-49,47
246,3Lt,-49,46
247,3Lq,-54.166667,46.833333
248,3Lq,-54.5,46
249,3Lq,-52.5,46
250,3Lq,-52.5,46.5
251,3Lq,-53.066667,46.65
252,3M,-46.5,49.25
253,3M,-46.5,39
254,3M,-42,39
255,3M,-42,49.25
256,3M,-46.5,49.25
257,3Ma,-46.5,47
258,3Ma,-45,47
259,3Ma,-45,49.25
260,3Ma,-46.5,49.25
261,3Ma,-46.5,47
262,3Mb,-45,47
263,3Mb,-42,47
264,3Mb,-42,49.25
265,3Mb,-45,49.25
266,3Mb,-45,47
267,3Mc,-46.5,45
268,3Mc,-45,45
269,3Mc,-45,47
270,3Mc,-46.5,47
271,3Mc,-46.5,45
272,3Md,-45,45
273,3Md,-42,45
274,3Md,-42,47
275,3Md,-45,47
276,3Md,-45,45
277,3N,-51,39.933333
278,3N,-50,39
279,3N,-46.5,39
280,3N,-46.5,46
281,3N,-51,46
282,3N,-51,39.933333
283,3Na,-51,45
284,3Na,-49,45
285,3Na,-49,46
286,3Na,-51,46
287,3Na,-51,45
288,3Nb,-49,45
289,3Nb,-46.5,45
290,3Nb,-46.5,46
291,3Nb,-49,46
292,3Nb,-49,45
293,3Nc,-51,43.5
294,3Nc,-49.5,43.5
295,3Nc,-49.5,45
296,3Nc,-51,45
297,3Nc,-51,43.5
298,3Nd,-49.5,43.5
299,3Nd,-46.5,43.5
300,3Nd,-46.5,45
301,3Nd,-49.5,45
302,3Nd,-49.5,43.5
303,3Ne,-51,42
304,3Ne,-50,42
305,3Ne,-50,43.5
306,3Ne,-51,43.5
307,3Ne,-51,42
308,3Nf,-50,42
309,3Nf,-46.5,42
310,3Nf,-46.5,43.5
311,3Nf,-50,43.5
312,3Nf,-50,42
313,3O,-54.5,42.97
314,3O,-51,39.933333
315,3O,-51,46
316,3O,-54.5,46
317,3O,-54.5,42.97
318,3Oa,-54.5,45
319,3Oa,-53,45
320,3Oa,-53,46
321,3Oa,-54.5,46
322,3Oa,-54.5,45
323,3Ob,-53,45
324,3Ob,-51,45
325,3Ob,-51,46
326,3Ob,-53,46
327,3Ob,-53,45
328,3Oc,-54.5,42.97
329,3Oc,-53,41.652
330,3Oc,-53,45
331,3Oc,-54.5,45
332,3Oc,-54.5,42.97
333,3Od,-53,44
334,3Od,-51,44
335,3Od,-51,45
336,3Od,-53,45
337,3Od,-53,44
338,3Oe,-53,42
339,3Oe,-51,42
340,3Oe,-51,44
341,3Oe,-53,44
342,3Oe,-53,42
343,3Of,-51,39.933333
344,3Of,-51,42
345,3Of,-53,42
346,3Of,-53,41.652
347,3Of,-51,39.933333
348,3P,-59.3,47.716667
349,3P,-59.583333,47.5
350,3P,-54.5,42.97
351,3P,-54.5,46
352,3P,-54.166667,46.833333
353,3Pn,-59.3,47.716667
354,3Pn,-59.583333,47.5
355,3Pn,-58.75,46.85
356,3Pn,-57.5,47.65
357,3Pa,-57.5,47.65
358,3Pa,-58.5,47
359,3Pa,-57,47
360,3Pa,-56.183333,47.5
361,3Pb,-56.183333,47.5
362,3Pb,-57,47
363,3Pb,-56,46.5
364,3Pb,-56,46.966667
365,3Pc,-56,46.966667
366,3Pc,-56,46.5
367,3Pc,-54.333333,46.5
368,3Pc,-54.333333,46.833333
369,3Pd,-58.8,46.85
370,3Pd,-57.75,46
371,3Pd,-57,46
372,3Pd,-57,47
373,3Pd,-58.5,47
374,3Pd,-58.75,46.883333
375,3Pe,-57,46
376,3Pe,-56,46
377,3Pe,-56,46.5
378,3Pe,-57,47
379,3Pe,-57,46
380,3Pf,-56,45.5
381,3Pf,-54.5,45.5
382,3Pf,-54.5,46
383,3Pf,-54.333333,46.5
384,3Pf,-56,46.5
385,3Pf,-56,45.5
386,3Pg,-57.75,46
387,3Pg,-56,44.466667
388,3Pg,-56,46
389,3Pg,-57.75,46
390,3Ph,-56,44.5
391,3Ph,-54.5,42.97
392,3Ph,-54.5,45.5
393,3Ph,-56,45.5
394,3Ph,-56,44.466667
395,4V,-60.25,45.716667
396,4V,-60,45.666667
397,4V,-60,44.166667
398,4V,-59,44.166667
399,4V,-59,39
400,4V,-50,39
401,4V,-60,47.833333
402,4V,-60.4,47.033333
403,4Vn,-60.25,45.716667
404,4Vn,-60,45.666667
405,4Vn,-57.55,45.666667
406,4Vn,-60,47.833333
407,4Vn,-60.4,47.033333
408,4Vb,-58.333333,45
409,4Vb,-58.333333,45.166667
410,4Vb,-56.982,45.166667
411,4Vb,-57.55,45.666667
412,4Vb,-60,45.666667
413,4Vb,-60,45
414,4Vc,-60,44.166667
415,4Vc,-59,44.166667
416,4Vc,-59,43.8
417,4Vc,-55.45,43.8
418,4Vc,-56.982,45.166667
419,4Vc,-58.333333,45.166667
420,4Vc,-58.333333,45
421,4Vc,-60,45
422,4Vc,-60,44.166667
423,4Ve,-59,42
424,4Ve,-53.4,42
425,4Ve,-55.45,43.8
426,4Ve,-59,43.8
427,4Ve,-59,42
428,4R,-57.1,51.416667
429,4R,-60,49.416667
430,4R,-60,47.833333
431,4R,-59.583333,47.5
432,4R,-59.3,47.716667
433,4R,-57.825125,48.232038
434,4R,-57.005339,50.043475
435,4R,-56.185553,51.272245
436,4R,-55.738396,51.445164
437,4R,-55.416667,51.65
438,4R,-55.416667,52.25
439,4R,-55.683333,52.25
440,4Ra,-55.683333,52.25
441,4Ra,-55.416667,52.25
442,4Ra,-55.416667,51.65
443,4Ra,-57.1,51.416667
444,4Ra,-58.15,50.716667
445,4Ra,-57.4,50.716667
446,4Rb,-57.4,50.716667
447,4Rb,-58.15,50.716667
448,4Rb,-59.25,49.95
449,4Rb,-58.25,49.25
450,4Rc,-58.25,49.25
451,4Rc,-59.25,49.95
452,4Rc,-60,49.416667
453,4Rc,-60,48.5
454,4Rc,-59.283333,48.5
455,4Rd,-59.283333,48.5
456,4Rd,-60,48.5
457,4Rd,-60,47.833333
458,4Rd,-59.583333,47.5
459,4Rd,-59.3,47.716667
460,4S,-67.4,49.333333
461,4S,-64.666667,49.416667
462,4S,-60,47.833333
463,4S,-60,49.416667
464,4S,-57.1,51.416667
465,4S,-57.64729,52.545215
466,4S,-67.164694,51.295737
467,4Sz,-67.4,49.333333
468,4Sz,-65.833333,49.383333
469,4Sz,-65.833333,50.25
470,4Si,-64.666667,49.416667
471,4Si,-65.833333,49.383333
472,4Si,-65.833333,50.033333
473,4Si,-64,50.033333
474,4Si,-64,49.916667
475,4Sy,-65.833333,50.25
476,4Sy,-65.833333,50.033333
477,4Sy,-62.916667,50.033333
478,4Sy,-61.166667,49.633333
479,4Sy,-61.166667,50.183333
480,4Sv,-61.166667,50.183333
481,4Sv,-61.166667,49.633333
482,4Sv,-60,49.416667
483,4Sv,-58.116667,50.716667
484,4Sv,-59,50.733333
485,4Sw,-59,50.733333
486,4Sw,-58.116667,50.716667
487,4Sw,-57.1,51.416667
488,4Ss,-64.25,49.75
489,4Ss,-64.666667,47.833333
490,4Ss,-60,47.833333
491,4Ss,-60,49
492,4Ss,-61.7,49.083333
493,4Sx,-61.7,49.083333
494,4Sx,-60,49
495,4Sx,-60,49.416667
496,4Sx,-61.166667,49.633333
497,4Sx,-62.916667,50.033333
498,4Sx,-64,50.033333
499,4Sx,-64,49.916667
500,4T,-67.4,49.333333
501,4T,-64.666667,49.416667
502,4T,-60,47.833333
503,4T,-60.4,47.033333
504,4T,-60.682929,46.145712
505,4T,-61.352635,45.503467
506,4T,-62.468813,45.309349
507,4T,-64.329108,46.017856
508,4T,-72.663232,46.527503
509,4T,-68.793817,50.376006
510,4Tf,-60.4,47.033333
511,4Tf,-60,47.833333
512,4Tf,-62.5,48.7
513,4Tf,-62.5,46.833333
514,4Tf,-60.583333,47.033333
515,4Tg,-63.166667,46.45
516,4Tg,-62.5,46.833333
517,4Tg,-60.583333,47.033333
518,4Tg,-62.45,46
519,4Tg,-62.083333,45.766667
520,4Th,-62.45,46
521,4Th,-62.083333,45.766667
522,4Th,-64.6,46.466667
523,4Th,-64.116667,46.583333
524,4Tj,-63.166667,46.45
525,4Tj,-62.5,46.833333
526,4Tj,-62.5,47
527,4Tj,-63.75,47
528,4Tj,-63.916667,46.666667
529,4Tk,-63.75,47
530,4Tk,-62.5,47
531,4Tk,-62.5,48.7
532,4Tk,-63.75,49.1
533,4Tk,-63.75,47
534,4Tl,-64.833333,47.616667
535,4Tl,-63.75,47.616667
536,4Tl,-63.75,47
537,4Tl,-63.916667,46.666667
538,4Tl,-64.583333,46.466667
539,4Tl,-64.116667,46.583333
540,4Tn,-64.833333,47.616667
541,4Tn,-63.75,47.616667
542,4Tn,-63.75,49.1
543,4Tn,-64.2,48.75
544,4Tn,-64.916667,48.166667
545,4Tn,-64.916667,47.8
546,4Tm,-64.916667,48.166667
547,4Tm,-64.916667,47.8
548,4To,-64.2,48.75
549,4To,-63.75,49.1
550,4To,-64.666667,49.416667
551,4To,-67,49.333333
552,4To,-67,49
553,4Tq,-67.4,49.333333
554,4Tq,-67,49.333333
555,4Tq,-67,49
556,4Tq,-68.666667,48.9
557,4Tq,-68.166667,48.633333
558,4Tp,-68.666667,48.9
559,4Tp,-68.166667,48.633333
560,4W,-60.25,45.716667
561,4W,-60,45.666667
562,4W,-60,44.166667
563,4W,-59,44.166667
564,4W,-59,39
565,4W,-63.333333,39
566,4W,-63.333333,44.333333
567,4W,-63.5,44.5
568,4W,-62.468813,45.309349
569,4W,-61.352635,45.503467
570,4W,-60.682929,46.145712
571,4Wd,-61.666667,45.166667
572,4Wd,-61.5,45
573,4Wd,-61.5,44.833333
574,4Wd,-60,44.83333
575,4Wd,-60,45.666667
576,4Wd,-60.25,45.733333
577,4We,-61.333333,44.833333
578,4We,-61.333333,44.666667
579,4We,-61.166667,44.666667
580,4We,-61.166667,44.166667
581,4We,-60,44.166667
582,4We,-60,44.833333
583,4We,-61.333333,44.833333
584,4Wf,-61,44.166667
585,4Wf,-61,43.5
586,4Wf,-60.166667,43.5
587,4Wf,-60.166667,43.666667
588,4Wf,-59.5,43.666667
589,4Wf,-59.5,44.166667
590,4Wf,-61,44.166667
591,4Wg,-60.666667,43.5
592,4Wg,-60.666667,43
593,4Wg,-59,43
594,4Wg,-59,44.166667
595,4Wg,-59.5,44.166667
596,4Wg,-59.5,43.666667
597,4Wg,-60.166667,43.666667
598,4Wg,-60.166667,43.5
599,4Wg,-60.666667,43.5
600,4Wh,-62.166667,44.5
601,4Wh,-62.166667,43.833333
602,4Wh,-61.666667,43.833333
603,4Wh,-61.666667,43.666667
604,4Wh,-61.5,43.666667
605,4Wh,-61.5,43.5
606,4Wh,-61,43.5
607,4Wh,-61,44.166667
608,4Wh,-61.166667,44.166667
609,4Wh,-61.166667,44.666667
610,4Wh,-61.333333,44.666667
611,4Wh,-61.333333,44.833333
612,4Wh,-61.5,44.833333
613,4Wh,-61.5,44.666667
614,4Wh,-62,44.666667
615,4Wh,-62,44.5
616,4Wh,-62.166667,44.5
617,4Wj,-62.166667,43.833333
618,4Wj,-62.166667,42.666667
619,4Wj,-60.666667,42.666667
620,4Wj,-60.666667,43.5
621,4Wj,-61.5,43.5
622,4Wj,-61.5,43.666667
623,4Wj,-61.666667,43.666667
624,4Wj,-61.666667,43.833333
625,4Wj,-62.166667,43.83333
626,4Wk,-63.5,44.5
627,4Wk,-63.333333,44.333333
628,4Wk,-63.333333,44
629,4Wk,-62.166667,44
