id,Area,X,Y
934,6F,-55,39
935,6G,-50,39
936,6G,-50,35
937,6G,-55,35
938,6G,-55,39
939,6G,-50,39
940,6H,-42,39
941,6H,-42,35
942,6H,-50,35
943,6H,-50,39
944,6H,-42,39
945,3NK,-55.416667,51.583333
946,3NK,-55.416667,52.25
947,3NK,-42,52.25
948,3NK,-42,39
949,3NK,-50,39
950,3NK,-59.583333,47.5
951,3NK,-59.3,47.7
952,4NK,-55.416667,52.25
953,4NK,-55.416667,51.583333
954,4NK,-59.3,47.716667
955,4NK,-59.583333,47.5
956,4NK,-50,39
957,4NK,-65.66667,39
958,4NK,-65.666667,42
959,4NK,-66,42.333333
960,4NK,-67.666667,42.333333
961,4NK,-67.666667,43.833333
962,4NK,-66.9,43.833333
963,4NK,-66.9,44.783333
964,4NK,-75,44.783333
965,4NK,-75,52.25
966,5NK,-66.9,44.783333
967,5NK,-66.9,43.833333
968,5NK,-67.666667,43.833333
969,5NK,-67.666667,42.333333
970,5NK,-66,42.333333
971,5NK,-65.666667,42
972,5NK,-65.666667,39
973,5NK,-71.666667,39
974,5NK,-71.666667,41.333333
975,5NK,-71.666667,44.783333
976,6NK,-71.666667,44.783333
977,6NK,-71.666667,39
978,6NK,-42,39
979,6NK,-42,35
980,6NK,-75.7,35
981,6NK,-78,35
982,6NK,-78,44.783333
983,5Zw,-71.666667,41.333333
984,5Zw,-71.666667,39
985,5Zw,-70,39
986,5Zw,-70,41.333333
987,5Zw,-71.666667,41.333333
988,5Ze,-70,42.333333
989,5Ze,-70,39
990,5Ze,-65.666667,39
991,5Ze,-65.666667,42
992,5Ze,-66,42.333333
993,5Ze,-70,42.333333
994,3Ps,-57.5,47.65
995,3Ps,-58.75,46.85
996,3Ps,-54.5,42.97
997,3Ps,-54.5,46
998,3Ps,-54.166667,46.833333
999,3Ps,-53.573346,47.266169
1000,3Ps,-53.796265,48.010311
1001,3Ps,-55.579618,48.317244
1002,3Ps,-57.288665,48.071845
1003,4Vs,-60,45.666667
1004,4Vs,-60,44.166667
1005,4Vs,-59,44.166667
1006,4Vs,-59,39
1007,4Vs,-50,39
1008,4Vs,-57.55,45.666667
1009,4Vs,-60,45.666667
