Target Strength,Area (km2),Mean Sa,Density (kg/m2),Biomass (tons),Standard Error (tons),Standard Error (%),Layer
-35.5,641.8104,-44.219476271413,0.143476221507309,86190.4450159032,55861.4448811107,64.8116445747595,Main Box
-35.5,87.27066,-39.2947749948306,0.379058094197195,36424.2619774344,24484.9317188991,67.2214902640114,Northern Box
-35.5,116.4295,-43.1742218262855,0.202328060725672,19890.2778452419,22515.6614268213,113.199330859058,Eastern Box
