Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
BP,T01,-35.5,-52.78432338,0.0186882081221018,42.035886949
BP,T02,-35.5,-38.26328681,0.529262737787608,41.23567954
C1,T01,-35.5,-49.22793566,0.0423844384911401,46.833965702
C1,T02,-35.5,-44.62772105,0.122244096488745,33.84704607
LJ,T01,-35.5,-35.41327966,1.02016879226107,18.594643946
LJ,T02,-35.5,-41.83200945,0.232701431539235,17.25983341
LJ,T03,-35.5,-51.86123072,0.0231140968140716,15.93158
LJ,T04,-35.5,-52.53013467,0.0198146558175772,14.53530432
LM,T01,-35.5,-58.96516496,0.00450280877744899,47.910044188
LM,T02,-35.5,-59.94843218,0.00359051530252642,40.89421972
MS,T01,-35.5,-36.85496111,0.731987877941418,12.8765679
MS,T02,-35.5,-62.59586533,0.0019517018195003,13.7996603
MS,T03,-35.5,-61.62658438,0.00243972885116465,17.1305513
MS,T04,-35.5,-59.57893261,0.00390936966765357,17.8966308
