Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
C1,T01,-35.5,-55.31625657,0.0104321624910897,19.285046902
C1,T02,-35.5,-57.32145662,0.00657437296462583,17.28431163
C1,T03,-35.5,-62.81440994,0.00185591894921207,16.32309699
C1,T04,-35.5,-62.21454666,0.00213081298168379,15.17091818
FM,T01,-35.5,-51.03034235,0.027987606874303,46.70395135
FM,T02,-35.5,-52.68634311,0.0191146208962906,36.52111117
LB,T01,-35.5,-57.43849159,0.00639957069488306,48.5595428
LB,T02,-35.5,-50.75424685,0.0298246471971517,39.85249659
LJ,T01,-35.5,-51.01861632,0.0280632760299752,42.634259093
LJ,T02,-35.5,-57.46444926,0.00636143470711736,36.15046151
LM,T01,-35.5,-64.34357008,0.00130509760292122,9.757710875
LM,T02,-35.5,-59.24905642,0.0042178813425334,13.77842694
LM,T03,-35.5,-58.59611414,0.00490217246221199,15.84502257
LM,T04,-35.5,-53.62414579,0.0154022944264388,17.68140432
MS,T01,-35.5,-51.14093203,0.0272839218562409,48.09935904
MS,T02,-35.5,-54.15490803,0.0136304187086965,39.49976641
